Cow,per,trt,oil,mon,day,concDMI,silDMI,forDMI,CPI,NDFI,EEI,MEI
139,1,2,2,0,1,8.6,7.3,8.63,2.58,7.21,1.27,47.9281
139,1,2,2,0,2,9.6,5.8,6.39,2.51,5.86,1.23,46.4493
139,1,2,2,0,3,9.9,4.5,5.78,2.52,5.41,1.22,45.7646
139,1,2,2,0,4,9.3,6.1,7.43,2.58,6.47,1.27,47.5181
139,1,2,2,0,5,9.4,7.1,8.27,2.69,7.09,1.33,49.8429
139,1,2,2,0,6,9.3,5.6,6.91,2.52,6.11,1.24,46.3357
139,1,2,2,0,7,8.8,6.1,7.36,2.48,6.35,1.22,45.7172
139,2,3,0,14,1,10.8,4.6,5.57,2.63,5.39,0.82,46.0439
139,2,3,0,14,2,10,8.4,9.54,2.95,7.8,0.98,52.5678
139,2,3,0,14,3,11,7.4,7.39,2.87,6.59,1.01,51.2473
139,2,3,0,14,4,10.9,7.7,8.95,3.05,7.53,1.03,53.9785
139,2,3,0,14,5,10.8,7.6,8.79,3.01,7.44,1,53.3253
139,2,3,0,14,6,11.2,3.6,4.89,2.64,5,0.78,45.6003
139,2,3,0,14,7,10.9,7.4,8.67,3.02,7.33,1.01,53.3289
139,3,4,2,14,1,8.9,3.9,5.2,2.33,5.07,1.01,41.088
139,3,4,2,14,2,7.9,6.3,7.5,2.41,6.49,1.04,43.057
139,3,4,2,14,3,8.1,4.5,5.86,2.25,5.41,0.98,39.9022
139,3,4,2,14,4,7.8,6.1,7.43,2.38,6.41,1.03,42.5081
139,3,4,2,14,5,8.3,6.1,7.28,2.45,6.42,1.06,43.8976
139,3,4,2,14,6,8.4,4.5,5.77,2.29,5.39,1,40.7359
139,3,4,2,14,7,8.6,5.8,7.1,2.48,6.29,1.07,44.437
139,4,1,0,0,1,10.1,5.3,6.49,2.66,5.92,0.81,45.8743
139,4,1,0,0,2,9.8,7,8.35,2.83,7.22,0.87,49.1305
139,4,1,0,0,3,9.8,5.5,6.86,2.65,6.14,0.81,45.7142
139,4,1,0,0,4,9.6,6,7.34,2.68,6.46,0.82,46.1978
139,4,1,0,0,5,9.6,6.7,8.05,2.76,6.97,0.85,47.8195
139,4,1,0,0,6,10.1,6.4,7.65,2.79,6.76,0.86,48.5055
139,4,1,0,0,7,10.4,7.3,8.49,2.95,7.4,0.9,51.3903
145,1,3,0,14,1,10.1,7.5,8.76,2.83,8.02,1.03,51.0432
145,1,3,0,14,2,11,6.5,7.84,2.87,7.66,1.03,51.7108
145,1,3,0,14,3,11,6.1,7.44,2.81,7.44,1.01,50.7948
145,1,3,0,14,4,10.5,6.9,8.23,2.86,7.72,1.03,51.0481
145,1,3,0,14,5,10.5,3.8,5.09,2.38,5.99,0.86,43.8743
145,1,3,0,14,6,9.8,6,7.3,2.6,7.01,0.94,46.747
145,1,3,0,14,7,9.4,6.3,7.64,2.57,7.13,0.93,46.2608
145,2,2,2,0,1,8.9,6.7,8,2.68,6.76,1.18,47.5
145,2,2,2,0,2,9,5.9,7.16,2.59,6.31,1.13,45.9272
145,2,2,2,0,3,9.4,8.2,8.19,2.78,6.95,1.32,50.1553
145,2,2,2,0,4,10.1,6.8,8.05,2.92,7,1.29,51.6435
145,2,2,2,0,5,10.9,5.3,6.62,2.91,6.24,1.27,51.0114
145,2,2,2,0,6,10.5,5.9,7.16,2.89,6.47,1.27,50.9372
145,2,2,2,0,7,10.3,6.5,7.76,2.92,6.8,1.29,51.6432
145,3,1,0,0,1,10.8,5.5,6.8,2.49,7.05,0.86,48.722
145,3,1,0,0,2,10.1,4.8,6.15,2.3,6.5,0.79,45.0285
145,3,1,0,0,3,10,5.5,6.86,2.4,6.76,0.81,46.3382
145,3,1,0,0,4,9.6,5.1,6.39,2.28,6.36,0.77,44.0433
145,3,1,0,0,5,8.9,6.2,7.57,2.35,6.9,0.8,44.5279
145,3,1,0,0,6,8.8,7.3,8.6,2.47,7.54,0.84,46.604
145,3,1,0,0,7,9.3,6.5,7.85,2.39,7.4,0.83,46.4255
145,4,4,2,14,1,7.7,4.8,6.16,2.13,5.55,0.91,39.2532
145,4,4,2,14,2,7.2,3.9,5.27,1.94,4.89,0.83,35.5409
145,4,4,2,14,3,7.6,5.8,7.09,2.24,6.07,0.95,41.0783
145,4,4,2,14,4,8,5.6,6.89,2.29,6.05,0.98,41.9563
145,4,4,2,14,5,8.1,5.2,6.5,2.25,5.87,0.97,41.393
145,4,4,2,14,6,8.4,4.7,6.06,2.24,5.68,0.97,41.3622
145,4,4,2,14,7,8.4,4.2,5.53,2.18,5.3,0.94,40.1611
146,1,1,0,0,1,9.5,6.8,8.04,2.57,7.08,1.02,47.5308
146,1,1,0,0,2,9.9,6.4,7.69,2.59,6.88,1.02,47.9563
146,1,1,0,0,3,10.2,6.1,7.38,2.62,6.72,1.03,48.1866
146,1,1,0,0,4,9.7,7.1,8.38,2.64,7.36,1.04,48.9166
146,1,1,0,0,5,9.8,7.1,8.43,2.66,7.41,1.05,49.3221
146,1,1,0,0,6,10.1,6.3,7.62,2.62,6.87,1.02,48.4074
146,1,1,0,0,7,9.9,8,9.25,2.77,8.01,1.09,51.5455
146,2,4,2,14,1,8.5,5.2,6.45,2.36,5.43,1.12,42.6355
146,2,4,2,14,2,8.5,4.7,5.95,2.29,5.08,1.09,41.4905
146,2,4,2,14,3,7.9,5.6,6.9,2.28,5.65,1.09,41.641
146,2,4,2,14,4,8.1,6.7,8.01,2.44,6.42,1.16,44.8467
146,2,4,2,14,5,8.4,5,6.32,2.31,5.32,1.1,41.9744
146,2,4,2,14,6,8.5,4.4,5.73,2.28,4.94,1.09,40.9531
146,2,4,2,14,7,8.4,2.8,4.11,2.07,3.83,0.99,36.9177
146,3,2,2,0,1,8.6,4.1,5.4,2.26,5.12,1.11,40.544
146,3,2,2,0,2,7.9,5.4,6.77,2.28,5.94,1.11,41.3139
146,3,2,2,0,3,7.6,5.3,6.64,2.22,5.84,1.07,40.0268
146,3,2,2,0,4,7.6,4.5,5.85,2.13,5.27,1.03,38.2135
146,3,2,2,0,5,7,5.4,6.77,2.11,5.81,1.02,38.3079
146,3,2,2,0,6,7.7,6,7.29,2.31,6.3,1.11,41.8703
146,3,2,2,0,7,8.2,6.4,7.77,2.46,6.72,1.19,44.6059
146,4,3,0,14,1,9.2,5.8,7.14,2.54,6.41,0.76,44.4918
146,4,3,0,14,2,9.2,6.8,8.15,2.66,7.14,0.81,46.8005
146,4,3,0,14,3,9.5,5.7,7,2.59,6.37,0.77,45.124
146,4,3,0,14,4,9.2,6,7.31,2.57,6.55,0.77,44.8937
146,4,3,0,14,5,9.7,6.6,7.89,2.72,7.03,0.82,47.7903
146,4,3,0,14,6,9.9,5.5,6.79,2.63,6.29,0.78,45.8953
146,4,3,0,14,7,9.8,6.7,8,2.75,7.13,0.83,48.35
148,1,4,2,14,1,8.2,5.7,7.04,2.12,6.84,1.14,42.9468
148,1,4,2,14,2,8.5,2.6,3.88,1.65,5.36,0.95,36.7376
148,1,4,2,14,3,8.5,3.9,5.22,1.91,5.9,1.06,39.7894
148,1,4,2,14,4,8.1,6,7.29,2.18,6.84,1.16,43.2063
148,1,4,2,14,5,8,4.8,6.12,1.97,6.25,1.07,40.1804
148,1,4,2,14,6,8.1,0.3,1.6,1.21,4.07,0.75,30.172
148,1,4,2,14,7,6.8,3.1,4.42,1.51,4.99,0.84,32.2794
148,2,1,0,0,1,9,5.7,7.04,2.45,6.21,0.7,43.6388
148,2,1,0,0,2,8.8,7.2,8.5,2.58,7.13,0.78,46.375
148,2,1,0,0,3,9.2,8,8.04,2.57,6.99,0.83,47.0988
148,2,1,0,0,4,9.9,7.1,8.38,2.76,7.26,0.81,49.5406
148,2,1,0,0,5,10.5,6.7,8.05,2.82,7.12,0.81,50.6275
148,2,1,0,0,6,10.8,6.1,7.11,2.78,6.58,0.79,49.5537
148,2,1,0,0,7,10.9,6.4,7.74,2.88,6.98,0.82,51.1698
148,3,3,0,14,1,9.1,6,7.35,2.54,6.47,0.78,44.6565
148,3,3,0,14,2,9.2,5.5,6.85,2.5,6.13,0.76,43.8235
148,3,3,0,14,3,8.7,4.7,6.07,2.31,5.52,0.7,40.4689
148,3,3,0,14,4,8.2,6.8,8.16,2.45,6.88,0.77,43.6992
148,3,3,0,14,5,8.7,6.6,7.96,2.53,6.87,0.79,44.8012
148,3,3,0,14,6,9.1,5.5,6.79,2.48,6.12,0.75,43.3993
148,3,3,0,14,7,9.1,5.3,6.65,2.45,5.99,0.74,43.0535
148,4,2,2,0,1,8.2,4.2,5.57,2.18,5.22,0.93,39.5679
148,4,2,2,0,2,8.1,4.1,5.39,2.14,5.08,0.92,38.8553
148,4,2,2,0,3,7.5,5.1,6.38,2.16,5.68,0.93,39.1226
148,4,2,2,0,4,7.5,5.9,7.2,2.25,6.28,0.96,40.992
148,4,2,2,0,5,7.8,5.5,6.79,2.25,6.06,0.95,41.0593
148,4,2,2,0,6,8.2,6.2,7.49,2.4,6.59,1.03,43.9983
148,4,2,2,0,7,8.7,5.6,6.96,2.45,6.3,1.05,44.4252
